84.0.0.0;84.0.0.255;47.5571;20.7195
84.0.1.0;84.0.1.255;47.4833;20.7333
84.0.2.0;84.0.2.255;47.4333;20.8
84.0.3.0;84.0.3.255;47.392;18.9045
84.0.4.0;84.0.4.255;47.3149;20.9197
84.0.5.0;84.0.5.191;47.6167;20.7667
84.0.5.192;84.0.7.255;47.3167;20.9333
84.0.8.0;84.0.8.255;47.6167;20.7667
84.0.9.0;84.0.9.255;47.4333;20.8
84.0.10.0;84.0.11.255;47.4979;19.0402
84.0.12.0;84.0.12.255;47.392;18.9045
84.0.13.0;84.0.13.255;47.2167;20.7667
84.0.14.0;84.0.14.255;47.6167;20.7667
84.0.15.0;84.0.15.255;47.3167;20.9333
84.0.16.0;84.0.16.255;47.4979;19.0402
84.0.17.0;84.0.17.255;47.4983;19.0404
84.0.18.0;84.0.18.255;47.4821;19.1575
84.0.19.0;84.0.20.255;46.253;20.1414
84.0.21.0;84.0.21.255;47.4979;19.0402
84.0.22.0;84.0.22.255;47.4983;19.0404
84.0.23.0;84.0.23.255;47.5672;19.0369
84.0.24.0;84.0.24.255;47.4821;19.1575
84.0.25.0;84.0.25.255;46.253;20.1414
84.0.26.0;84.0.26.255;47.4821;19.1575
84.0.27.0;84.0.28.255;47.5672;19.0369
84.0.29.0;84.0.30.255;47.4821;19.1575
84.0.31.0;84.0.31.255;47.4983;19.0404
84.0.32.0;84.0.33.255;46.0727;18.2323
84.0.34.0;84.0.34.255;46.253;20.1482
84.0.35.0;84.0.35.255;46.0727;18.2323
84.0.36.0;84.0.36.255;46.253;20.1482
84.0.37.0;84.0.39.255;47.4979;19.0402
84.0.40.0;84.0.43.255;46.253;20.1414
84.0.44.0;84.0.47.255;47.4979;19.0402
84.0.48.0;84.0.48.255;46.3257;19.9746
84.0.49.0;84.0.49.255;46.3594;17.7968
84.0.50.0;84.0.51.255;46.3609;20.0989
84.0.52.0;84.0.53.255;46.7121;19.8446
84.0.54.0;84.0.55.31;46.3184;19.9231
84.0.55.32;84.0.55.255;46.3609;20.0989
84.0.56.0;84.0.56.255;47.8833;22.5667
84.0.57.0;84.0.57.255;46.0727;18.2323
84.0.58.0;84.0.58.255;47.8862;22.0978
84.0.59.0;84.0.59.255;46.0727;18.2323
84.0.60.0;84.0.60.255;47.9667;22.4667
84.0.61.0;84.0.62.255;47.4979;19.0402
84.0.63.0;84.0.63.255;47.9977;22.3262
84.0.64.0;84.0.64.255;48.2181;22.0824
84.0.65.0;84.0.65.255;48.0167;21.6333
84.0.66.0;84.0.66.255;48.1237;21.4643
84.0.67.0;84.0.67.255;47.9554;21.7167
84.0.68.0;84.0.68.255;48.1233;21.7095
84.0.69.0;84.0.69.255;48;22.0833
84.0.70.0;84.0.71.255;47.9554;21.7167
84.0.72.0;84.0.72.255;47.9628;21.9854
84.0.73.0;84.0.76.255;47.4979;19.0402
84.0.77.0;84.0.77.255;47.9554;21.7167
84.0.78.0;84.0.78.255;47.4979;19.0402
84.0.79.0;84.0.79.255;48.0167;21.6333
84.0.80.0;84.0.80.255;46.5789;19.3939
84.0.81.0;84.0.81.255;46.6214;19.2853
84.0.82.0;84.0.82.255;46.7509;19.4726
84.0.83.0;84.0.85.255;47.4979;19.0402
84.0.86.0;84.0.86.255;46.801;19.001
84.0.87.0;84.0.87.255;47.4979;19.0402
84.0.88.0;84.0.88.255;46.6225;19.2875
84.0.89.0;84.0.89.255;46.5253;19.2519
84.0.90.0;84.0.90.255;46.6225;19.2875
84.0.91.0;84.0.91.255;46.6214;19.2853
84.0.92.0;84.0.92.255;46.6225;19.2875
84.0.93.0;84.0.93.255;46.6917;19.2042
84.0.94.0;84.0.94.255;46.801;19.001
84.0.95.0;84.0.95.255;46.6976;19.0311
84.0.96.0;84.0.96.255;46.0297;18.2921
84.0.97.0;84.0.98.255;46.0727;18.2323
84.0.99.0;84.0.100.255;46.0725;18.2308
84.0.101.0;84.0.101.255;46.0727;18.2323
84.0.102.0;84.0.102.255;46.1603;18.4232
84.0.103.0;84.0.103.255;46.0727;18.2323
84.0.104.0;84.0.104.255;46.1603;18.4232
84.0.105.0;84.0.105.255;46.2247;18.4708
84.0.106.0;84.0.107.255;46.0727;18.2323
84.0.108.0;84.0.108.255;46.1603;18.4232
84.0.109.0;84.0.109.255;46.0727;18.2323
84.0.110.0;84.0.110.255;46.2247;18.4708
84.0.111.0;84.0.111.255;46.0727;18.2323
84.0.112.0;84.0.112.255;47.1028;17.9093
84.0.113.0;84.0.113.255;47.4983;19.0404
84.0.114.0;84.0.114.255;47.1028;17.9093
84.0.115.0;84.0.115.255;47.3152;19.1584
84.0.116.0;84.0.119.255;47.4983;19.0404
84.0.120.0;84.0.121.255;47.1028;17.9093
84.0.122.0;84.0.122.255;47.55;19.2333
84.0.123.0;84.0.124.255;47.1028;17.9093
84.0.125.0;84.0.125.255;47.4983;19.0404
84.0.126.0;84.0.127.255;47.55;19.2333
84.0.128.0;84.0.128.255;47.3167;21.1167
84.0.129.0;84.0.129.255;47.2236;21.5366
84.0.130.0;84.0.130.255;47.3;21.3667
84.0.131.0;84.0.131.255;47.4979;19.0402
84.0.132.0;84.0.132.255;47.1333;21.7167
84.0.133.0;84.0.134.255;47.4979;19.0402
84.0.135.0;84.0.136.255;47.3167;21.1167
84.0.137.0;84.0.137.255;47.0333;21.3
84.0.138.0;84.0.138.255;47.3167;21.1167
84.0.139.0;84.0.139.255;47.4979;19.0402
84.0.140.0;84.0.140.255;47.1333;21.7167
84.0.141.0;84.0.141.255;47.2196;21.5363
84.0.142.0;84.0.142.255;47.1333;21.7167
84.0.143.0;84.0.143.255;47.2236;21.5366
84.0.144.0;84.0.144.255;47.4979;19.0402
84.0.145.0;84.0.145.255;47.1333;21.7167
84.0.146.0;84.0.146.255;47.3167;21.1167
84.0.147.0;84.0.147.255;47.1333;21.7167
84.0.148.0;84.0.150.255;47.4979;19.0402
84.0.151.0;84.0.151.255;47.2236;21.5366
84.0.152.0;84.0.152.255;47.1333;21.7167
84.0.153.0;84.0.153.255;47.4979;19.0402
84.0.154.0;84.0.154.255;47.1333;21.7167
